node_id,node
0,1000100250021_10313457	
1,1000100250021_10345214	
2,1000100250021_130956	
3,1000100250021_13388558	
4,1000100250021_2088	
5,1000100250021_25022354	
6,1000100250021_5280933	
7,1000100250021_60852	
8,1000100250021_9290	
9,1000100250022_10152654	
10,1000100250022_10201696	
11,1000100250022_10313457	
12,1000100250022_10345214	
13,1000100250022_130956	
14,1000100250022_13109	
15,1000100250022_13388558	
16,1000100250022_154257	
17,1000100250022_16750192	
18,1000100250022_176405	
19,1000100250022_179337	
20,1000100250022_2088	
21,1000100250022_216416	
22,1000100250022_223368	
23,1000100250022_25022354	
24,1000100250022_3001028	
25,1000100250022_44137686	
26,1000100250022_444008	
27,1000100250022_5035	
28,1000100250022_5280795	
29,1000100250022_5280933	
30,1000100250022_5282367	
31,1000100250022_5283731	
32,1000100250022_57398987	
33,1000100250022_5757	
34,1000100250022_5870	
35,1000100250022_5878	
36,1000100250022_5881	
37,1000100250022_5991	
38,1000100250022_60852	
39,1000100250022_6230	
40,1000100250022_6279	
41,1000100250022_68873	
42,1000100250022_6918141	
43,1000100250022_6918182	
44,1000100250022_6918446	
45,1000100250022_6918602	
46,1000100250022_9290	
47,1000100250022_9677	
48,1000600020026_10152654	
49,1000600020026_10201696	
50,1000600020026_10313457	
51,1000600020026_10345214	
52,1000600020026_130956	
53,1000600020026_13109	
54,1000600020026_13388558	
55,1000600020026_154257	
56,1000600020026_16750192	
57,1000600020026_176405	
58,1000600020026_179337	
59,1000600020026_2088	
60,1000600020026_216416	
61,1000600020026_223368	
62,1000600020026_25022354	
63,1000600020026_3001028	
64,1000600020026_44137686	
65,1000600020026_444008	
66,1000600020026_5035	
67,1000600020026_5280795	
68,1000600020026_5280933	
69,1000600020026_5282367	
70,1000600020026_5283731	
71,1000600020026_57398987	
72,1000600020026_5757	
73,1000600020026_5870	
74,1000600020026_5878	
75,1000600020026_5881	
76,1000600020026_5991	
77,1000600020026_60852	
78,1000600020026_6230	
79,1000600020026_6279	
80,1000600020026_68873	
81,1000600020026_6918141	
82,1000600020026_6918182	
83,1000600020026_6918446	
84,1000600020026_6918602	
85,1000600020026_9290	
86,1000600020026_9677	
87,1001300050013_10152654	
88,1001300050013_10201696	
89,1001300050013_10313457	
90,1001300050013_10345214	
91,1001300050013_130956	
92,1001300050013_13109	
93,1001300050013_13388558	
94,1001300050013_154257	
95,1001300050013_16750192	
96,1001300050013_176405	
97,1001300050013_179337	
98,1001300050013_2088	
99,1001300050013_216416	
100,1001300050013_223368	
101,1001300050013_25022354	
102,1001300050013_3001028	
103,1001300050013_44137686	
104,1001300050013_444008	
105,1001300050013_5035	
106,1001300050013_5280795	
107,1001300050013_5280933	
108,1001300050013_5282367	
109,1001300050013_5283731	
110,1001300050013_57398987	
111,1001300050013_5757	
112,1001300050013_5870	
113,1001300050013_5878	
114,1001300050013_5881	
115,1001300050013_5991	
116,1001300050013_60852	
117,1001300050013_6230	
118,1001300050013_6279	
119,1001300050013_68873	
120,1001300050013_6918141	
121,1001300050013_6918182	
122,1001300050013_6918446	
