receptor_name,ligand_name,scores
1ayu,10313457_config_A_INA_out1.pdbqt,-2.6
1ayu,10345214_config_A_INA_out1.pdbqt,96.6
1ayu,130956_config_A_INA_out1.pdbqt,27
1ayu,13388558_config_A_INA_out1.pdbqt,-2.9
1ayu,2088_config_A_INA_out1.pdbqt,3.7
1ayu,25022354_config_A_INA_out1.pdbqt,69.7
1ayu,5280933_config_A_INA_out1.pdbqt,13.3
1ayu,60852_config_A_INA_out1.pdbqt,18.4
1ayu,9290_config_A_INA_out1.pdbqt,-1
1ayv,10152654_config_A_IN6_out1.pdbqt,-5.4
1ayv,10201696_config_A_IN6_out1.pdbqt,-5.4
1ayv,10313457_config_A_IN6_out1.pdbqt,-3.5
1ayv,10345214_config_A_IN6_out1.pdbqt,-5.9
1ayv,130956_config_A_IN6_out1.pdbqt,-6.1
1ayv,13109_config_A_IN6_out1.pdbqt,-5.4
1ayv,13388558_config_A_IN6_out1.pdbqt,-4.3
1ayv,154257_config_A_IN6_out1.pdbqt,-6.6
1ayv,16750192_config_A_IN6_out1.pdbqt,-6.6
1ayv,176405_config_A_IN6_out1.pdbqt,-4.6
1ayv,179337_config_A_IN6_out1.pdbqt,-6.2
1ayv,2088_config_A_IN6_out1.pdbqt,-4.8
1ayv,216416_config_A_IN6_out1.pdbqt,-6
1ayv,223368_config_A_IN6_out1.pdbqt,-5.6
1ayv,25022354_config_A_IN6_out1.pdbqt,-5.8
1ayv,3001028_config_A_IN6_out1.pdbqt,-5.6
1ayv,44137686_config_A_IN6_out1.pdbqt,-6.3
1ayv,444008_config_A_IN6_out1.pdbqt,-5.7
1ayv,5035_config_A_IN6_out1.pdbqt,-6.2
1ayv,5280795_config_A_IN6_out1.pdbqt,-6
1ayv,5280933_config_A_IN6_out1.pdbqt,-4.4
1ayv,5282367_config_A_IN6_out1.pdbqt,-5.6
1ayv,5283731_config_A_IN6_out1.pdbqt,-5.7
1ayv,57398987_config_A_IN6_out1.pdbqt,-5.7
1ayv,5757_config_A_IN6_out1.pdbqt,-5.7
1ayv,5870_config_A_IN6_out1.pdbqt,-5.9
1ayv,5878_config_A_IN6_out1.pdbqt,-5.5
1ayv,5881_config_A_IN6_out1.pdbqt,-5.4
1ayv,5991_config_A_IN6_out1.pdbqt,-5.7
1ayv,60852_config_A_IN6_out1.pdbqt,-5.3
1ayv,6230_config_A_IN6_out1.pdbqt,-5.7
1ayv,6279_config_A_IN6_out1.pdbqt,-5.4
1ayv,68873_config_A_IN6_out1.pdbqt,-6
1ayv,6918141_config_A_IN6_out1.pdbqt,-5.6
1ayv,6918182_config_A_IN6_out1.pdbqt,-4.6
1ayv,6918446_config_A_IN6_out1.pdbqt,-6.3
1ayv,6918602_config_A_IN6_out1.pdbqt,-7.2
1ayv,9290_config_A_IN6_out1.pdbqt,-4.7
1ayv,9677_config_A_IN6_out1.pdbqt,-5.6
1fbz,10152654_config_A_CC1_out1.pdbqt,-6.2
1fbz,10201696_config_A_CC1_out1.pdbqt,-6.1
1fbz,10313457_config_A_CC1_out1.pdbqt,-4.3
1fbz,10345214_config_A_CC1_out1.pdbqt,-6.4
1fbz,130956_config_A_CC1_out1.pdbqt,-5.6
1fbz,13109_config_B_CC1_out1.pdbqt,-6.4
1fbz,13388558_config_A_CC1_out1.pdbqt,-4.2
1fbz,154257_config_A_CC1_out1.pdbqt,-6.4
1fbz,16750192_config_B_CC1_out1.pdbqt,-6.4
1fbz,176405_config_A_CC1_out1.pdbqt,-4.5
1fbz,179337_config_A_CC1_out1.pdbqt,-5.9
1fbz,2088_config_A_CC1_out1.pdbqt,-4.8
1fbz,216416_config_A_CC1_out1.pdbqt,-5.8
1fbz,223368_config_A_CC1_out1.pdbqt,-6.1
1fbz,25022354_config_A_CC1_out1.pdbqt,-5.5
1fbz,3001028_config_B_CC1_out1.pdbqt,-6.3
1fbz,44137686_config_B_CC1_out1.pdbqt,-6.1
1fbz,444008_config_A_CC1_out1.pdbqt,-5.8
1fbz,5035_config_A_CC1_out1.pdbqt,-6.4
1fbz,5280795_config_B_CC1_out1.pdbqt,-6.2
1fbz,5280933_config_B_CC1_out1.pdbqt,-4.7
1fbz,5282367_config_A_CC1_out1.pdbqt,-5.7
1fbz,5283731_config_B_CC1_out1.pdbqt,-6.5
1fbz,57398987_config_A_CC1_out1.pdbqt,-5.6
1fbz,5757_config_A_CC1_out1.pdbqt,-5.7
1fbz,5870_config_A_CC1_out1.pdbqt,-6.1
1fbz,5878_config_B_CC1_out1.pdbqt,-6.4
1fbz,5881_config_B_CC1_out1.pdbqt,-5.9
1fbz,5991_config_B_CC1_out1.pdbqt,-6
1fbz,60852_config_B_CC1_out1.pdbqt,-4.7
1fbz,6230_config_B_CC1_out1.pdbqt,-6.5
1fbz,6279_config_A_CC1_out1.pdbqt,-6.5
1fbz,68873_config_A_CC1_out1.pdbqt,-6.8
1fbz,6918141_config_A_CC1_out1.pdbqt,-6
1fbz,6918182_config_B_CC1_out1.pdbqt,-5.1
1fbz,6918446_config_A_CC1_out1.pdbqt,-4.5
1fbz,6918602_config_A_CC1_out1.pdbqt,-7.3
1fbz,9290_config_A_CC1_out1.pdbqt,-4.6
1fbz,9677_config_A_CC1_out1.pdbqt,-5.1
